DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4185.6001,79.028,77.66,148.81,2.688,108.778,19.197,23.086,20.062,3.495,20.018,8.693,1.333,114.438,1.23,0.184
4185.7002,78.688,77.286,148.23,2.691,108.361,19.15,23.492,20.395,3.465,20.149,8.663,1.33,114.708,1.182,0.179
4185.7998,78.383,76.969,147.717,2.696,108.651,19.183,23.741,20.571,3.46,20.34,8.616,1.313,114.944,1.117,0.176
4185.8999,78.137,76.748,147.277,2.7,109.076,19.33,23.874,20.646,3.475,20.482,8.567,1.313,115.133,1.07,0.176
4186.0,77.986,76.712,146.904,2.702,109.15,19.475,23.944,20.679,3.505,20.564,8.519,1.313,115.248,1.046,0.178
4186.1001,77.945,76.752,146.572,2.698,108.88,19.402,23.989,20.706,3.539,20.541,8.489,1.312,115.34,1.068,0.18
4186.2002,77.999,76.882,146.299,2.691,108.588,19.106,24.015,20.724,3.566,20.394,8.49,1.313,115.413,1.112,0.179
4186.2998,78.138,76.969,145.945,2.683,108.317,18.715,24.021,20.725,3.581,20.078,8.537,1.313,114.684,1.163,0.177
4186.3999,78.346,77.0,145.552,2.677,107.794,18.326,24.012,20.713,3.577,19.502,8.667,1.311,114.049,1.212,0.172
4186.5,78.563,76.908,145.117,2.675,106.702,17.937,23.996,20.698,3.546,18.625,8.915,1.311,114.231,1.249,0.163
4186.6001,78.714,76.758,144.751,2.678,104.988,17.563,23.978,20.683,3.486,17.51,9.278,1.311,114.488,1.276,0.149
4186.7002,78.681,76.57,144.428,2.685,103.228,17.426,23.966,20.673,3.38,16.245,9.75,1.311,114.77,1.286,0.139
4186.7998,78.439,76.321,144.173,2.693,102.367,17.665,23.958,20.67,3.273,15.151,10.2,1.31,115.052,1.292,0.139
4186.8999,77.983,76.086,143.961,2.699,102.884,18.233,23.956,20.676,3.188,14.227,10.608,1.31,115.276,1.291,0.151
4187.0,77.331,75.879,143.807,2.699,104.448,18.86,23.985,20.727,3.147,13.539,10.94,1.308,115.452,1.263,0.167
4187.1001,76.592,75.763,143.839,2.695,105.993,19.26,24.118,20.891,3.13,13.16,11.144,1.309,115.527,1.206,0.181
4187.2002,75.896,75.751,143.984,2.689,107.087,19.377,24.417,21.212,3.122,13.109,11.201,1.31,115.544,1.129,0.19
4187.2998,75.411,75.81,144.199,2.682,107.742,19.299,24.866,21.657,3.126,13.382,11.113,1.308,115.53,1.027,0.194
4187.3999,75.255,75.976,144.479,2.678,108.042,19.116,25.295,22.058,3.138,13.926,10.927,1.285,115.513,0.93,0.193
4187.5,75.427,76.17,144.754,2.677,107.927,18.806,25.528,22.264,3.157,14.831,10.621,1.298,115.523,0.841,0.183
4187.6001,75.879,76.384,145.027,2.681,107.236,18.416,25.495,22.226,3.187,16.074,10.192,1.306,115.549,0.78,0.168
4187.7002,76.484,76.591,145.301,2.687,106.288,18.18,25.292,22.042,3.23,17.375,9.736,1.32,115.553,0.754,0.158
4187.7998,77.093,76.8,145.552,2.69,105.907,18.206,25.102,21.874,3.282,18.367,9.363,1.319,115.508,0.761,0.157
4187.8999,77.612,77.012,145.786,2.689,106.51,18.457,25.001,21.788,3.343,19.032,9.079,1.348,115.441,0.795,0.167
4188.0,77.946,77.233,146.009,2.683,107.719,18.815,24.986,21.777,3.41,19.437,8.874,1.336,115.894,0.833,0.184
4188.1001,78.107,77.453,146.242,2.674,108.583,19.122,24.986,21.783,3.477,19.644,8.737,1.317,115.779,0.875,0.201
4188.2002,78.131,77.673,146.486,2.667,108.469,19.248,24.986,21.788,3.539,19.609,8.68,1.319,115.114,0.906,0.21
4188.2998,78.07,77.856,146.846,2.662,107.132,19.148,24.985,21.789,3.581,19.138,8.751,1.324,115.153,0.943,0.21
