DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
3613.375,81.298,76.202,124.278,2.542,237.383,14.947,15.747,14.964,2.664,14.31,19.695,6.512,85.738,4.101,176.443
3613.5,82.029,76.202,124.278,2.548,240.148,15.805,24.039,22.551,2.567,14.162,19.964,6.511,85.595,4.144,174.303
3613.625,82.644,76.202,124.278,2.55,239.247,16.639,33.911,31.559,2.475,13.957,20.156,6.515,85.598,4.174,173.372
3613.75,82.505,76.202,124.278,2.55,236.747,16.769,43.676,40.352,2.397,13.826,20.302,6.534,85.601,4.197,173.378
3613.875,81.531,76.202,123.863,2.55,233.722,16.139,53.586,49.181,2.309,13.784,20.222,6.531,85.521,4.184,173.507
3614.0,80.457,76.083,122.737,2.55,228.912,15.206,64.677,58.98,2.201,13.884,19.589,6.54,84.767,4.084,173.436
3614.125,79.32,75.475,121.08,2.551,220.693,14.367,73.692,66.553,2.142,14.091,18.63,6.529,84.227,3.932,173.258
3614.25,78.295,75.005,120.836,2.549,209.937,13.698,73.819,65.747,2.195,14.046,17.55,6.525,84.34,3.76,173.737
3614.375,77.652,74.856,120.586,2.544,199.036,13.15,60.729,53.132,2.286,13.752,16.626,6.526,84.506,3.614,175.638
3614.5,77.472,74.635,119.653,2.535,190.314,12.816,41.859,35.997,2.348,13.549,15.991,6.57,84.234,3.513,178.979
3614.625,77.846,74.272,118.558,2.526,185.286,12.801,26.588,22.78,2.368,13.649,15.755,6.553,83.54,3.476,182.373
3614.75,78.189,73.951,118.359,2.519,184.44,12.891,20.555,18.111,2.387,13.735,15.636,6.537,83.815,3.457,184.712
3614.875,78.066,73.917,118.286,2.516,188.423,12.652,21.331,19.359,2.413,13.816,15.539,6.568,83.862,3.441,185.712
3615.0,78.139,73.648,118.277,2.523,194.904,12.005,26.63,24.413,2.433,14.361,15.48,6.559,84.077,3.432,183.44
3615.125,78.203,73.543,118.277,2.523,201.813,11.433,33.648,30.757,2.442,15.445,15.703,6.576,84.326,3.467,183.44
3615.25,77.533,73.54,118.277,2.536,207.248,11.396,38.432,34.959,2.444,16.327,16.215,6.563,84.335,3.549,178.714
3615.375,77.508,73.532,118.277,2.553,209.796,11.91,38.842,35.142,2.445,16.473,16.816,6.569,84.338,3.644,172.31
3615.5,78.168,73.498,118.279,2.571,208.958,12.588,36.55,32.75,2.433,16.263,17.197,6.57,84.381,3.705,166.006
3615.625,78.019,73.498,118.753,2.581,207.128,12.965,35.402,31.307,2.419,15.983,17.565,6.564,84.658,3.763,162.394
3615.75,77.895,73.498,119.34,2.591,209.186,12.809,37.344,32.769,2.446,15.741,18.293,6.561,85.088,3.878,158.599
3615.875,78.428,73.517,119.674,2.591,219.887,12.313,40.592,35.574,2.482,16.03,19.743,6.652,85.463,4.109,158.599
3616.0,78.557,73.663,119.75,2.591,236.907,11.988,42.594,37.332,2.48,16.652,21.35,6.593,85.492,4.364,158.599
3616.125,78.555,73.973,119.75,2.573,252.206,12.246,42.212,37.002,2.442,16.994,22.218,6.58,85.044,4.501,165.31
3616.25,78.781,73.973,119.75,2.558,257.117,13.018,40.527,35.67,2.393,16.815,22.422,6.571,84.967,4.534,170.522
3616.375,78.433,73.973,119.75,2.55,251.113,13.818,37.832,33.669,2.26,16.045,22.502,6.57,84.97,4.546,173.519
