DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4311.7,224.2026,66.8427,121.1923,2.6882,123.9765,16.0927,20.6432,19.576,2.7973,21.2102,3.9742,0.4128,124.6983,0.01,10.0
4311.9,223.5011,66.7107,120.8855,2.6967,121.3346,16.536,20.9439,19.8827,2.6986,21.1448,4.0362,0.3943,124.6586,0.01,10.0
4312.1,223.1176,66.617,120.5853,2.7073,122.8097,16.6123,21.2206,20.1469,2.7526,20.7176,3.9428,0.3943,124.5906,0.01,10.0
4312.2,222.9312,66.5519,120.3284,2.7079,122.8466,16.3708,21.3081,20.2301,2.8007,20.3821,3.8593,0.4053,124.4222,0.01,10.0
4312.4,222.7197,66.0,119.7581,2.7043,121.1058,15.7584,21.5091,20.4365,2.8811,19.6682,3.7605,0.3762,124.6548,0.01,10.0
4312.5,222.4371,65.5569,119.5642,2.7031,119.6449,15.5519,21.8318,20.7569,2.8963,19.4313,3.7191,0.4179,125.424,0.01,10.0
4312.7,220.5551,64.8557,119.2014,2.7023,116.43,15.2893,23.2951,22.165,2.8537,19.0902,3.7944,0.4155,125.9989,0.01,10.0
4312.8,219.0063,64.7213,119.1222,2.7018,115.5818,15.585,24.3441,23.1501,2.8205,18.9616,3.9085,0.4179,126.3279,0.01,10.0
4313.3,220.6307,66.8031,122.7513,2.6929,128.2509,18.391,21.7228,20.4724,2.8784,18.0862,5.5402,0.4153,126.0898,0.01,10.0
4313.9,240.4922,70.8769,128.2641,2.6855,139.3669,17.2427,15.7228,14.935,3.335,16.3308,5.8927,0.469,124.5956,0.01,10.0
4314.2,237.1224,70.553,127.2363,2.707,136.3403,17.9446,17.2311,16.3809,3.3006,15.8514,6.1122,0.4575,124.2506,0.01,10.0
4314.3,235.1933,70.1504,126.5682,2.7109,133.934,18.0105,17.7728,16.8949,3.2832,15.7946,6.1499,0.4707,124.314,0.01,10.0
4314.4,233.3904,69.8199,125.9826,2.7099,132.357,17.9015,18.1784,17.2785,3.298,15.7816,6.1348,0.4817,124.314,0.01,10.0
4314.5,231.8548,69.5763,125.5075,2.7063,132.2242,17.6605,18.431,17.5169,3.3486,15.7292,6.1099,0.4817,124.2808,0.01,10.0
4314.8,229.2603,69.3536,124.8566,2.7021,136.5927,16.8727,18.543,17.6294,3.4772,15.5974,6.1495,0.508,124.0879,0.01,10.0
4315.1,228.7429,69.4785,125.228,2.7044,136.9071,16.3637,18.5865,17.6681,3.3922,15.7638,6.4317,0.5382,124.145,0.01,10.0
4315.2,228.8935,69.7281,125.1919,2.7026,136.4051,16.2521,18.6611,17.739,3.313,15.9333,6.5539,0.5382,123.6861,0.01,10.0
4315.3,229.1154,69.7946,125.1106,2.6998,135.9512,16.1469,18.7954,17.8709,3.2137,16.1999,6.6579,0.5633,123.6816,0.01,10.0
4315.4,229.2601,69.7213,124.9563,2.6965,135.2887,16.1455,19.0287,18.097,3.11,16.537,6.7311,0.5633,123.6559,0.01,10.0
